Player,Chwaraewraig,Squad,Carfan
Laura O'Sullivan,Laura O'Sullivan,Wales,Cymru
Claire Skinner,Claire Skinner,Wales,Cymru
Olivia Clark,Olivia Clark,Wales,Cymru
Sophie Ingle,Sophie Ingle,Wales,Cymru
Hayley Ladd,Hayley Ladd,Wales,Cymru
Loren Dykes,Loren Dykes,Wales,Cymru
Lily Woodham,Lily Woodham,Wales,Cymru
Rhiannon Roberts,Rhiannon Roberts,Wales,Cymru
Anna Filbey,Anna Filbey,Wales,Cymru
Angharad James,Angharad James,Wales,Cymru
Jasmine Turner,Jasmine Turner,Wales,Cymru
Josie Green,Josie Green,Wales,Cymru
Nadia Lawrence,Nadia Lawrence,Wales,Cymru
Georgia Walters,Georgia Walters,Wales,Cymru
Rachel Rowe,Rachel Rowe,Wales,Cymru
Natasha Harding ,Natasha Harding ,Wales,Cymru
Megan Wynne,Megan Wynne,Wales,Cymru
Chloe Williams,Chloe Williams,Wales,Cymru
Kayleigh Green,Kayleigh Green,Wales,Cymru
Grace Horrell,Grace Horrell,Wales,Cymru
Maria Francis-Jones,Maria Francis-Jones,Wales,Cymru
Ffion Morgan,Ffion Morgan,Wales,Cymru
Charlie Estcourt,Charlie Estcourt,Wales,Cymru
Claire Skinner,Claire Skinner,Cardiff City,Dinas Caerdydd
Grace Horrell,Grace Horrell,Cardiff City,Dinas Caerdydd
Jasmine Turner,Jasmine Turner,Cardiff City,Dinas Caerdydd
Laura O'Sullivan,Laura O'Sullivan,Cardiff City,Dinas Caerdydd
Maria Francis-Jones,Maria Francis-Jones,Cardiff City,Dinas Caerdydd
Nadia Lawrence,Nadia Lawrence,Cardiff City,Dinas Caerdydd
Loren Dykes,Loren Dykes,Cardiff City,Dinas Caerdydd
Chelsea Jumratie,Chelsea Jumratie,Cardiff City,Dinas Caerdydd
Amina Vine,Amina Vine,Cardiff City,Dinas Caerdydd
Shannon Greenway,Shannon Greenway,Cardiff City,Dinas Caerdydd
Gwennan Davies,Gwennan Davies,Cardiff City,Dinas Caerdydd
Kelly Isaac,Kelly Isaac,Cardiff City,Dinas Caerdydd
Olivia Clark,Olivia Clark,Huddersfield Town,Tref Huddersfield
Laura Carter,Laura Carter,Huddersfield Town,Tref Huddersfield
Beth Stanfield,Beth Stanfield,Huddersfield Town,Tref Huddersfield
Shauna Legge,Shauna Legge,Huddersfield Town,Tref Huddersfield
Kate Mallin ,Kate Mallin ,Huddersfield Town,Tref Huddersfield
Vicky Abbott,Vicky Abbott,Huddersfield Town,Tref Huddersfield
Lauren Griffiths,Lauren Griffiths,Huddersfield Town,Tref Huddersfield
Katie Nutter,Katie Nutter,Huddersfield Town,Tref Huddersfield
Charley Evans,Charley Evans,Huddersfield Town,Tref Huddersfield
Sarah Danby,Sarah Danby,Huddersfield Town,Tref Huddersfield
Laura Elford,Laura Elford,Huddersfield Town,Tref Huddersfield
Brittany Sanderson,Brittany Sanderson,Huddersfield Town,Tref Huddersfield
Georgia Walters,Georgia Walters,Blackburn Rovers,Blackburn Rovers
Chelsey Jukes,Chelsey Jukes,Blackburn Rovers,Blackburn Rovers
Kelsey Pearson,Kelsey Pearson,Blackburn Rovers,Blackburn Rovers
Natasha Fenton,Natasha Fenton,Blackburn Rovers,Blackburn Rovers
Saffron Jordan,Saffron Jordan,Blackburn Rovers,Blackburn Rovers
Kayleigh McDonald,Kayleigh McDonald,Blackburn Rovers,Blackburn Rovers
Danielle Hill,Danielle Hill,Blackburn Rovers,Blackburn Rovers
Lauren Thomas,Lauren Thomas,Blackburn Rovers,Blackburn Rovers
Levi Chambers-Cook,Levi Chambers-Cook,Blackburn Rovers,Blackburn Rovers
Ellie Fletcher,Ellie Fletcher,Blackburn Rovers,Blackburn Rovers
Milly Robertson,Milly Robertson,Blackburn Rovers,Blackburn Rovers
Lauren Perry,Lauren Perry,Blackburn Rovers,Blackburn Rovers
Kayleigh Green,Kayleigh Green,Brighton and Hove Albion,Brighton a Hove Albion
Megan Walsh,Megan Walsh,Brighton and Hove Albion,Brighton a Hove Albion
Beth Roe,Beth Roe,Brighton and Hove Albion,Brighton a Hove Albion
Felicity Gibbons,Felicity Gibbons,Brighton and Hove Albion,Brighton a Hove Albion
Danielle Bowman,Danielle Bowman,Brighton and Hove Albion,Brighton a Hove Albion
Laura Rafferty,Laura Rafferty,Brighton and Hove Albion,Brighton a Hove Albion
Aileen Whelan,Aileen Whelan,Brighton and Hove Albion,Brighton a Hove Albion
Kirsty Barton,Kirsty Barton,Brighton and Hove Albion,Brighton a Hove Albion
Lee Geum-min,Lee Geum-min,Brighton and Hove Albion,Brighton a Hove Albion
Danique Kerkdijk,Danique Kerkdijk,Brighton and Hove Albion,Brighton a Hove Albion
Ellie Brazil,Ellie Brazil,Brighton and Hove Albion,Brighton a Hove Albion
Megan Connolly,Megan Connolly,Brighton and Hove Albion,Brighton a Hove Albion
Megan Wynne,Megan Wynne,Bristol City,Dinas Bryste
Sophie Baggaley,Sophie Baggaley,Bristol City,Dinas Bryste
Gemma Evans,Gemma Evans,Bristol City,Dinas Bryste
Jasmine Matthews,Jasmine Matthews,Bristol City,Dinas Bryste
Chloe Logarzo,Chloe Logarzo,Bristol City,Dinas Bryste
Carla Humphrey,Carla Humphrey,Bristol City,Dinas Bryste
Ebony Salmon,Ebony Salmon,Bristol City,Dinas Bryste
Yana Daniëls,Yana Daniëls,Bristol City,Dinas Bryste
Charlie Wellings,Charlie Wellings,Bristol City,Dinas Bryste
Florence Allen,Florence Allen,Bristol City,Dinas Bryste
Meaghan Sargeant,Meaghan Sargeant,Bristol City,Dinas Bryste
Maisy Collis,Maisy Collis,Bristol City,Dinas Bryste
Charlie Estcourt,Charlie Estcourt,Charlton Athletic,Athletig Charlton
Lillie Maple,Lillie Maple,Charlton Athletic,Athletig Charlton
Shanell Salgado,Shanell Salgado,Charlton Athletic,Athletig Charlton
Ciara Watling,Ciara Watling,Charlton Athletic,Athletig Charlton
Rachel Newborough,Rachel Newborough,Charlton Athletic,Athletig Charlton
Grace Coombs,Grace Coombs,Charlton Athletic,Athletig Charlton
Ellie Dorey,Ellie Dorey,Charlton Athletic,Athletig Charlton
Charley Clifford,Charley Clifford,Charlton Athletic,Athletig Charlton
Jaime Gotch,Jaime Gotch,Charlton Athletic,Athletig Charlton
Melanie Parreno-Espinosa,Melanie Parreno-Espinosa,Charlton Athletic,Athletig Charlton
Alice Griffiths,Alice Griffiths,Charlton Athletic,Athletig Charlton
Georgia Griffin,Georgia Griffin,Charlton Athletic,Athletig Charlton
Sophie Ingle,Sophie Ingle,Chelsea,Chelsea
Maria Thorisdottir,Maria Thorisdottir,Chelsea,Chelsea
Hannah Blundell,Hannah Blundell,Chelsea,Chelsea
Millie Bright,Millie Bright,Chelsea,Chelsea
Jessica Carter,Jessica Carter,Chelsea,Chelsea
Melanie Leupolz,Melanie Leupolz,Chelsea,Chelsea
Bethany England,Bethany England,Chelsea,Chelsea
Ji So-yun,Ji So-yun,Chelsea,Chelsea
Guro Reiten,Guro Reiten,Chelsea,Chelsea
Fran Kirby,Fran Kirby,Chelsea,Chelsea
Magdalena Eriksson,Magdalena Eriksson,Chelsea,Chelsea
Jessie Fleming,Jessie Fleming,Chelsea,Chelsea
Ffion Morgan,Ffion Morgan,Coventry United,Unedig Cofentri
Chelsea Weston,Chelsea Weston,Coventry United,Unedig Cofentri
Sian Johnson,Sian Johnson,Coventry United,Unedig Cofentri
Nikki Miles,Nikki Miles,Coventry United,Unedig Cofentri
Marie Gauntlett,Marie Gauntlett,Coventry United,Unedig Cofentri
Shannon O'Brien,Shannon O'Brien,Coventry United,Unedig Cofentri
Amy Wathan,Amy Wathan,Coventry United,Unedig Cofentri
Amber Hughes,Amber Hughes,Coventry United,Unedig Cofentri
Hayley Crackle,Hayley Crackle,Coventry United,Unedig Cofentri
Dayna Chong,Dayna Chong,Coventry United,Unedig Cofentri
Helen Dermody,Helen Dermody,Coventry United,Unedig Cofentri
Kate Evans,Kate Evans,Coventry United,Unedig Cofentri
Angharad James,Angharad James,Reading,Reading
Natasha Harding ,Natasha Harding ,Reading,Reading
Rachel Rowe,Rachel Rowe,Reading,Reading
Lily Woodham,Lily Woodham,Reading,Reading
Kristine Bjordal Leine,Kristine Bjordal Leine,Reading,Reading
Fara Williams,Fara Williams,Reading,Reading
Molly Bartrip,Molly Bartrip,Reading,Reading
Amalie Eikeland,Amalie Eikeland,Reading,Reading
Lauren Bruton,Lauren Bruton,Reading,Reading
Brooke Chaplen,Brooke Chaplen,Reading,Reading
Kiera Skeels,Kiera Skeels,Reading,Reading
Beth Roberts,Beth Roberts,Reading,Reading
Sophie Quirk,Sophie Quirk,Reading,Reading
Rhiannon Stewart,Rhiannon Stewart,Reading,Reading
Deanna Cooper,Deanna Cooper,Reading,Reading
Anna Filbey,Anna Filbey,Tottenham Hotspur,Tottenham Hotspur
Josie Green,Josie Green,Tottenham Hotspur,Tottenham Hotspur
Aurora Mikalsen,Aurora Mikalsen,Tottenham Hotspur,Tottenham Hotspur
Lucia Leon,Lucia Leon,Tottenham Hotspur,Tottenham Hotspur
Ria Percival,Ria Percival,Tottenham Hotspur,Tottenham Hotspur
Kerys Harrop,Kerys Harrop,Tottenham Hotspur,Tottenham Hotspur
Gemma Davison,Gemma Davison,Tottenham Hotspur,Tottenham Hotspur
Chloe Peplow,Chloe Peplow,Tottenham Hotspur,Tottenham Hotspur
Rianna Dean,Rianna Dean,Tottenham Hotspur,Tottenham Hotspur
Rachel Williams,Rachel Williams,Tottenham Hotspur,Tottenham Hotspur
Angela Addison,Angela Addison,Tottenham Hotspur,Tottenham Hotspur
Siri Worm,Siri Worm,Tottenham Hotspur,Tottenham Hotspur
