Vejnavn,Tællested,År,Hast.begr.,Gns. hast.
,,,km/t,km/t
AGERBÆKSVEJ,n.f. Asylvej,2011,50,46
AGERNVEJ,udfor nr. 41,2006,50,32
AJSTRUPVEJ,ø.f. Egeskellet,2011,50,57
AJSTRUP STRANDVEJ,nø.f. Ajstrup Byvej,2004,80,69
AJSTRUP STRANDVEJ,v.f. Mosevænget,2005,40,45
AJSTRUP STRANDVEJ,n.f. Pileløkken,2005,40,41
ASMUSGÅRDSVEJ,ø.f. Hybenhaven,2013,50,52
ASTERVEJ,ø.f. Vistoftvej,2008,50,45
BAKKEVÆNGET,s.f. Hvedevangen,2003,50,28
BANEGÅRDSGADE,ø.f. Frederiks Allé,2013,50,35
BARTHOLINS ALLE,sø.f. C.M. Knudsens Vej,2004,50,36
BEDER LANDEVEJ,n.f. Byagervej,2009,50,49
BEDER LANDEVEJ,s.f. Byagervej,2009,50,56
BEDER LANDEVEJ,sv.f. Agernvænget,2010,50,42
BERNSTORFFSVEJ,s.f. Colbjørnsensvej,2006,50,38
BETHESDAVEJ,nv. f. Havtornvej,2004,50,45
BISPELUNDVEJ,s.f. nr. 43,2005,60,47
BJØDSTRUPVEJ,n.f. Slet Møllevej,2013,50,50
BJØRNHOLMS ALLÉ,sø.f. Åhavevej,2009,50,40
BOGENHØJVEJ,ø.f. Randersvej,2007,50,30
BOGENSEGADE,v.f. Tietgens Plads,2004,50,19
BONDEHAVEN,n.f. Kløvervangen,2013,50,45
BONDEHAVEN,sv. f. Safirvej,2013,50,51
BONDEHAVEN,sv. f. Gartnerhaven,2010,50,55
BORGVOLD,v.f. Kirketoften,2006,50,39
BORUM LANDEVEJ,ud for nr. 9,2006,50,52
BREDKÆR PARKVEJ,ud for nr. 36,2007,50,30
BREDKÆR TVÆRVEJ,s.f. Bredkærvej,2013,30,26
BRENDSTRUPVEJ,sø.f. Møllevangs Allé,2013,50,54
BROVEJ,sv.f. Egå Strandvej,2011,50,49
BUGGEGÅRDSVEJ,sø. f. Kærlundvej,2003,50,51
BUSHØJVEJ,n.f. Provsteparkvej,2012,50,46
BUSHØJVÆNGET,ø.f. Stenvej,2003,50,39
BYAGERVEJ,"ø.f. indk. ""Sol og Vind""",2005,50,48
BÜLOWSGADE,s.f. Ole Rømers Gade,2002,50,24
BØGGILDSVEJ,udfor nr. 49,2005,50,55
CARIT ETLARS VEJ,"n,f. Ludvig Feilbergs Vej",2007,50,38
CARIT ETLARS VEJ,s.f. Klokkervej,2012,50,27
CHRISTIAN X'S VEJ,"sv.f. Skanderborgvej, vestlig retning",2004,50,61
CHRISTIAN X'S VEJ,"sø.f. Skanderborgvej, østlig retning",2004,50,60
CHRISTIAN X'S VEJ,n.f. Ellehammervej,2004,50,60
CHRISTIAN X'S VEJ,sv.f. Ryslingevej,2007,60,56
CHRISTIAN X'S VEJ,nø.f. Holmevej,2007,60,59
CHRISTIAN X'S VEJ,s.f. Vilhelm Becks Vej,2007,50,49
CHRISTIAN X'S VEJ,n.f. Ringvej Syd,2013,60,57
CHRISTIAN X'S VEJ,s.f. Gunnar Clausens Vej,2005,60,63
DAMTOFTEN,n.f. Damagervej,2006,50,43
DAMTOFTEN,n.f. Markvangen,2006,50,40
DAMTOFTEN,s.f. Markvangen,2006,50,37
DAMTOFTEN,nv.f. Damgårdsvej,2010,50,43
DAMTOFTEN,nv.f. Ormslevvej,2007,50,37
DR. HOLST VEJ,v.f. St. Blichers Vej,2013,30,38
DYBROVEJ,n.f Elverdalsvej,2011,50,31
DYBBØLVEJ,n.f. Tornagervej,2003,50,27
EDELHOFFVEJ,v.f. Højbyvej,2009,80,62
EDISONVEJ,sv.f. Marconivej,2006,50,28
EDWIN RAHRS VEJ,v.f. Åby Ringvej,2013,60,44
EDWIN RAHRS VEJ,sv.f. Marconivej,2008,60,60
EDWIN RAHRS VEJ,ø.f. n.f. Logistikparken,2013,80,68
EDWIN RAHRS VEJ,ø.f. Herningmotorvejen,2008,60,61
EGEBÆKSVEJ,v.f. L.A. Rings Vej,2007,50,39
EGEBÆKSVEJ,v.f. Schierupsvej,2005,50,41
EGEBÆKSVEJ,v.f. Michael Anchers Vej,2005,50,43
ELLEPARKEN,ml. nr. 51 og 53,2012,50,43
ELLEMOSEVEJ,s.f. Ellevej,2012,60,55
ELMEHØJVEJ,ø.f. Ny Moesgårdvej,2007,50,45
ELMOSEVEJ,s.f. Kirkebakken,2009,50,49
ELMOSEVEJ,sv.f. Bisgårdvej,2003,80,61
ELMOSEVEJ,n.f. Karlslundvej,2003,60,51
ELEVVEJ,ø.f. Præsteager,2004,80,64
ELEVVEJ,ø.f Bysmedevej,2013,50,44
ELSTEDVEJ,sv.f. Lille Elstedvej,2012,50,63
ELVERDALSVEJ,sø.f. P. Mønsteds Allé,2010,40,40
EMILIEDALSVEJ,ø.f. Emiliedalen,2012,50,45
ENGDALSVEJ,ø.f. Søvej,2010,50,48
ENSLEVVEJ,Enslev by,2010,50,33
FALSTERSGADE,nv.f. Fynsgade,2012,50,23
FASTRUPVEJ,v.f. Højlundsparken (nr. 57),2006,50,51
FEBRUARVEJ,v.f. Højlundsparken,2008,50,30
FENRISVEJ,ved Aarhus Statsgyminasium,2011,50,47
FILIPPAVEJ,s.f. Snebærvej,2006,40,29
FORTEVEJ,sø.f. Liljevej,2011,50,37
FRAMLEV KORSVEJ,v.f. Gammel Stillingvej,2004,50,48
FRAMLEV KORSVEJ,ø.f. Gammel Stillingvej,2004,50,37
FRAMLEV KORSVEJ,ø.f. Espevej,2004,50,49
FREDENSGÅRDSVEJ,s.f. Neptunvej,2009,50,34
FREDERIKSHALDSGADE,,2010,50,36
FRIDTJOF NANSENS GADE,n.f. Lauge Kochs Vej,2013,50,28
FUGLEBAKKEVEJ,sø.f. Bogfinkevej,2011,50,40
FUGLESANGS ALLE,n.f. Fuglebakkevej,2003,50,33
FUGLESANGS ALLE,s.f. Falkevej,2009,50,37
FULDEN BYVEJ,udfor nr. 26,2005,50,21
FULDENVEJ,s.f. Ballevej,2004,50,53
FUSVADVEJ,v.f. Pindsmøllevej,2009,40,56
FÅRUPVEJ,s.f. Blåvej/Grønvej,2007,50,41
GAMMEL HORSENSVEJ,s.f. Solbjerg Hovedgade / Søvangsvej,2013,80,90
GAMMEL LANDEVEJ,n.f. Mosegårdsvangen,2012,50,51
GAMMEL LANDEVEJ,s.f. Ågade,2012,50,43
GAMMEL MOSEVEJ,mellem Stillingvej og Hørslvevvej,2005,80,64
GAMMEL MUNKEGADE,n.f. Klostergade,2011,50,27
GAMMEL SILKEBORGVEJ,v.f. rundkørsel v. Lillering,2004,80,63
GAMMEL SILKEBORGVEJ,ø.f. Lilleringvej,2004,80,67
GAMMEL SILKEBORGVEJ,v.f. Frøkjærvej,2009,80,77
GAMMEL SILKEBORGVEJ,ø.f. Frøkjærvej,2013,80,77
GAMMEL VIBORGVEJ,sø.f. Viborgvej,2008,80,64
GL. ØSTERGÅRDSVEJ,v.f. Nyvej,2006,50,36
GL. ØSTERGÅRDSVEJ,ø.f. Nyvej,2010,50,39
GEDINGVEJ,n.f. Bysmedevej,2003,50,59
GENVEJEN,ml. Møllebakken og Aarhus Syd Motorvejen,2013,80,77
GENVEJEN,Mellem Motorveje,2013,80,85
GLAMHØJVEJ,ø.f. Lyngby,2008,80,62
GRENÅVEJ,s.f. Risvangs Allé,2012,60,63
GRENÅVEJ,sv.f. Lystrupvej,2013,70,75
GRENÅVEJ,sv.f. Toftegårdsvej,2011,80,78
GRENÅVEJ,s.f. Bakkely,2012,80,64
GRUMSTOLSVEJ,s.f. Rensdyrvej,2012,50,51
GRØNDALSVEJ,sv.f. Grøfthøjparken,2010,50,45
GRØNHØJVEJ,s.f. Bygmarksvej,2005,50,41
GRØNNEGADE,nv.f. Nørre Allé,2011,50,32
GRØNNEGADE,n.f. Thunøgade,2012,50,32
GRØNVEJ,v. nr. 42,2008,80,58
H.V. KAALUNDS VEJ,s.f. Chr. Molbechs Vej,2008,50,35
HANS BROGES GADE,n.f. Fåborgvej,2011,50,43
HANS EGEDES VEJ,s.f. Otto Sverdrups Vej,2008,50,34
HARLEV KIRKEVEJ,sø.f. Stillingvej,2008,80,59
HARLEV MØLLEVEJ,mellem nr. 7 og nr. 8,2006,50,39
HARLEV MØLLEVEJ,s.f. Stallinggårdsvej,2007,50,31
HASLE RINGVEJ,v.f. Paludan Müllers Vej,2006,70,58
HASLE RINGVEJ,v.f. Nykersvej,2013,70,64
HASLE RINGVEJ,v.f. Herredsvej (lokalkørebane),2002,50,40
HASLEVEJ,s.f. Jørnhøjvej,2008,50,46
HASLEGÅRDSVEJ,n.f. Østervej,2007,50,37
HASLEVANGSVEJ,n.f. Østrevej,2007,50,37
HAUGESUNDSVEJ,v.f. Frederikshaldsgade,2009,50,29
HAURUMSVEJ,nø.f. Langkærvej,2005,50,33
HAURUMSVEJ,n.f. Supermarked,2005,50,39
HAVKÆRVEJ,n.f. Ertebjerg,2009,50,53
HEDESKOVVEJ,n.f. Lyngbakken,2009,50,45
HEDEVEJ,nv.f. Engblommevej,2005,50,43
HELENELYST,s.f. indkørsel til nr. 5-67,2011,50,46
HENRIK HERTZ VEJ,sø.f. Silkeborgvej,2012,50,41
HERREDSVEJ,"s.f. Randersvej, sv.f. rundkørsel",2013,60,62
HERREDSVEJ,s.f. Marienlystvej,2010,50,41
HESTEHAVEN,sv. f. Oddervej,2004,50,31
HJULBJERGVEJ,ø.f. Holme Byvej,2003,50,47
HJULBJERGVEJ,ø.f. Kvædevej,2012,50,53
HOLME PARKVEJ,s.f. Ringvej Syd,2008,50,39
HOLMETOFTEN,ml. Bushøjvej og Provsteparken,2007,50,44
HOLMEVEJ,n.ø. f. Mølleskovvej,2005,50,50
HOLMSTRUPGÅRDVEJ,n.f. Egebakkeskolens indkørsel,2004,60,65
HOVEDVEJEN,v.f. Kolt Kirkevej,2013,70,68
HOVEDVEJEN,sv.f. Torshøjvej,2013,80,70
HOVEDVEJEN,sv.f. Beringvej,2002,70,72
HOVMUREN,n.f. Kjeldsbjergvej,2004,50,51
HOVVEJEN,udfor nr. 13,2006,80,73
HVEENSGADE,sø.f. Sverigesgade,2006,50,26
HVIDBJERGVEJ,udfor nr. 17 (Ølsted),2011,50,26
HØEGH-GULDBERGS GADE,nv.f. Sølystgade,2012,50,26
HØGEMOSEVEJ,s.f. Høgemosevænget,2007,80,62
HØJSKOLEVEJ,n.f. Viborgvej,2012,50,38
HØRGÅRDSVEJ,s.f. Solsikkevej,2013,50,49
HØRHAVEVEJ,v.f. Hermelinvej,2011,50,45
HØRHAVEVEJ,v.f. Elsdyrvej,2005,50,44
HØRHAVEVEJ,nv.f. Dalvangen,2005,50,52
HØRHAVEVEJ,nø.f. Grumstolsvej,2005,50,48
HØRMARKSVEJ,nv.f. Nordre Strandvej,2011,50,32
HØRRETVEJ,nø.f. Obstrupvej,2004,50,34
HØVEJ,s.f. Stokbrovej,2004,80,59
HØVEJ,ø.f. Koldkilde,2004,50,41
I.P. JACOBSENS VEJ,ø.f. J.L. Heibergs Vej,2011,50,39
INDELUKKET,ø.f. Sønderskovvej,2007,50,47
J.P. LARSENS VEJ,Ved nr. 15a,2010,50,53
JARLSMINDEVEJ,m. Klokkeskovvej & Mondrupsvej,2004,40,48
JERNALDERVEJ,ø.f. adgang til Hasle bakker,2010,60,64
JOHANNES EWALDS VEJ,nv.f. Jacob Knudsens Vej,2008,50,39
JYLLANDS ALLÉ,s.f. Lyravej,2004,60,61
JYLLANDS ALLÉ,n.ø. Holme Møllevej,2007,60,63
KALØVEJ,i Mejlby,2007,50,49
KALØVEJ,ø.f. Obstrupgårdsvej,2007,80,75
KALØVEJ,ø.f. Bals Mark,2013,80,79
KASTED BYVEJ,ved nr. 7,2013,45,39
KILEPARKEN,sv.f. Havkærvej,2013,50,45
KLOKKERVEJ,v.f. Klokkerbakken,2013,50,48
KLOKKERBAKKEN,n.f. Klokkervej,2004,50,50
KLOKKERBAKKEN,n.f. nr. 42,2013,50,47
KLOKKERFALDET,Mellem nr. 61 og 62,2012,50,47
KOLDKILDE,s.f. Vennemindevej,2004,50,47
KOLDKILDE,nø.f. Engelstoft,2009,80,60
KONGSGÅRDSVEJ,s.f. Borgvold,2006,50,28
KORSAGERVEJ,sø.f. Gårdagervej,2003,50,29
KORSHØJEN,Udfor nr. 52,2010,50,29
KUNNERUPVEJ,sidevej ml. nr. 74 og 76,2009,50,32
KVÆDEVEJ,v. nr. 33,2008,50,44
KYSTVEJEN,n.f. Skt. Olufs Gade,2012,50,44
KYSTVEJEN,n.f. Nørreport,2006,50,43
L.A.RINGS VEJ,sø.f. J.F. Willumsens Vej,2005,50,41
LANDEVEJEN,sv.f. Tingskoven,2012,80,88
LANGDALSVEJ,s.f. Edwin Rahrs Vej,2006,50,56
LANGDALSVEJ,n.f. Lykkendalsvej,2006,50,53
LANGDALSVEJ,s.f. Labyrinten,2013,50,49
LANGELANDSGADE,ud for Kasernen,2013,50,53
LANGELANDSGADE,nv.f. Teglværksgade,2011,50,37
LANGENÆS ALLE,sv.f. Åbenrågade (v. Favorit),2008,50,43
LILLERINGVEJ,sv.f. Rundkørsel (Silkeborgvej),2004,50,51
LUDVIG HOLBERGS VEJ,s.f. Silkeborgvej (midt på),2005,50,38
LYNGBYGÅRDSVEJ,ø.f. Yderup (v. byzoneskilt),2003,50,40
LYNGBYGÅRDSVEJ,ø.f. Yderup (ud for nr. 66),2003,80,54
LYSTRUPVEJ,v. Lystrup Skole,2012,50,54
LYSTRUPVEJ,n.f. Djurslandmotorvejen,2011,50,39
LYSTRUPVEJ,s.f. Viengevej,2013,60,54
LYSTRUPVEJ,n.f. Grenåvej,2009,60,49
LØGTENVEJ,s.f. Bane (Grenåbanen),2003,80,68
LØGTENVEJ,n.f Kirkeholtvej,2010,80,61
MARSELIS BOULEVARD,v.f. Sydhavnsgade,2013,50,50
MARSELIS BOULEVARD,ø.f. Stadion Allé,2013,60,54
MARSELIS BOULEVARD,v.f. Kongsvang Allé,2011,60,57
MARSELIS BOULEVARD,v.f. Stadion Allé,2013,60,48
MEJLBYVEJ,s.f. Øster Kringelvej,2005,60,53
MEJLBYVEJ,n.f. Eghøjvej,2011,50,50
MEJLBYVEJ,s.f. Egå Mosevej,2005,50,48
MEJLBYVEJ,450m n.f. Bysmedetoften,2010,80,79
MEJLBYVEJ,s.f. Hjortshøj Stationsvej,2013,80,77
MEJLBYVEJ,s.f. Sastrupvej,2007,80,69
