FID,id,toilet_lokalitet,adresse,toilet_type,toilet_betegnelse,handicapadgang,design,helaarsaabent,aabent_april_sept,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,registreret_dato,rettet_dato,longitude,latitude,wkb_geometry
toilet_tmf_kk.1,45,Rådhuspladsen,"Rådhuspladsen 3, 1599 København V",Opsyn,Toilet med personale og handicapadgang,Ja,Skur,Ja,,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-13T00:00:00,2019-03-04T13:02:08.984,12.568555,55.676169,MULTIPOINT ((12.56855453222624 55.6761688403251))
toilet_tmf_kk.2,168,Nyhavn,"Nyhavn 1F, 1051 København K",Opsyn,Toilet med personale,Ja,Underjordisk,Ja,,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-13T00:00:00,2018-07-24T10:41:34.517,12.587758,55.680573,MULTIPOINT ((12.587758447732242 55.680572606029195))
toilet_tmf_kk.3,54,Vigerslevparken Nord,"Engdraget 24, 2500 Valby",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.480273,55.669723,MULTIPOINT ((12.480273182175992 55.66972285414592))
toilet_tmf_kk.4,55,Rødegårdsparken,"Rødegård 8A, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.611136,55.661051,MULTIPOINT ((12.611135718149878 55.66105152531239))
toilet_tmf_kk.5,70,Solkrogen,"Solkrogen  8, 2700 Brønshøj",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.509584,55.703179,MULTIPOINT ((12.509584052999767 55.70317912039282))
toilet_tmf_kk.6,71,Brønshøjparken,"Hyrdevangen 1, 2400 København NV",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.510322,55.707316,MULTIPOINT ((12.51032196761098 55.707316523404586))
toilet_tmf_kk.7,72,"Damhusdæmningen,  Engen","Damhusdæmningen 14, 2720 Vanløse",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.468016,55.682449,MULTIPOINT ((12.4680159995384 55.6824493007537))
toilet_tmf_kk.8,73,"Damhusdæmningen, v. kiosk","Damhusdæmningen 2a, 2720 Vanløse",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.473101,55.68157,MULTIPOINT ((12.473101004813746 55.68156957844119))
toilet_tmf_kk.9,74,Hans Tavsens Park,"Hans Tavsens Gade 20, 2200 København N",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.548019,55.688641,MULTIPOINT ((12.548019134649728 55.68864104434014))
toilet_tmf_kk.10,75,Lersøparken,"Bispebjerg Bakke 12, 2400 København NV",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.542855,55.709717,MULTIPOINT ((12.542854546326767 55.70971734848466))
toilet_tmf_kk.11,76,Ryvangens Naturpark,"Rymarksvej 75B, 2900 Hellerup",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.563557,55.72201,MULTIPOINT ((12.563557100425985 55.72200955328571))
toilet_tmf_kk.12,108,Balders Plads,"Baldersgade 60, 2200 København N",Gade,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:19:48.483,12.548328,55.70131,MULTIPOINT ((12.548327658466789 55.70130992185285))
toilet_tmf_kk.13,93,Hulgårds Plads,"Hulgårds Plads 4, 2400 København NV",Gade,Toilet med handicapadgang,Ja,Københavner,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,,2018-05-14T11:00:19.615,12.522551,55.705476,MULTIPOINT ((12.522550693628476 55.70547574270462))
toilet_tmf_kk.14,98,"Amager Strand, Søstjernen","Amager Strandvej 11, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.632197,55.666373,MULTIPOINT ((12.632196828178097 55.66637322922594))
toilet_tmf_kk.15,141,Islands Brygge,"Islands Brygge 20B, 2300 København S",AFA ,Toilet,Nej,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2013-04-11T13:36:16,2018-05-14T11:00:19.615,12.57425,55.665192,MULTIPOINT ((12.574249911450694 55.665192504185526))
toilet_tmf_kk.16,101,"Amager Strandvej, Kastrup Fort","Amager Strandvej 244, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.638736,55.648955,MULTIPOINT ((12.638735910966089 55.64895464454242))
toilet_tmf_kk.17,103,Amagertorv ,"Amagertorv 1F, 1160 København K",Opsyn,Toilet med personale,Nej,Bygning,Ja,,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2012-05-21T10:35:12,2018-05-14T11:00:19.615,12.579556,55.678826,MULTIPOINT ((12.579555561066043 55.67882557964826))
toilet_tmf_kk.18,229,Nørreport station,"Nørre Voldgade 15B, 1358 København K",Gade,Pissoir,Nej,Bygning,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2016-11-15T13:52:50.189,2018-05-14T11:00:19.615,12.571291,55.683037,MULTIPOINT ((12.571291326969375 55.68303734919295))
toilet_tmf_kk.19,169,Nyhavn ,"Nyhavn 28, 1051 København K",Gade,Pissoir,Nej,Bolværk,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,,2018-05-14T11:00:19.615,12.591002,55.679549,MULTIPOINT ((12.591002119592353 55.679548770837904))
toilet_tmf_kk.20,170,Nyhavn,"Nyhavn 47C, 1051 København K",Gade,Pissoir,Nej,Bolværk,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2002-11-13T00:00:00,2018-05-14T11:00:19.615,12.591223,55.679813,MULTIPOINT ((12.591223159241357 55.67981260610127))
toilet_tmf_kk.21,173,Nytorv,"Nytorv 29, 1450 København K",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2014-02-24T11:28:14,2018-05-14T11:00:19.615,12.572666,55.67757,MULTIPOINT ((12.572666122977507 55.67756974167434))
toilet_tmf_kk.22,178,Filipsparken,"Kastrupvej 74, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.618588,55.653986,MULTIPOINT ((12.618587899607471 55.65398641488337))
toilet_tmf_kk.23,223,Blågårds Plads,"Blågårds Plads 11, 2200 København N",Gade,Toilet med handicapadgang,Ja,Københavner,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2016-06-08T11:05:45.939,2018-05-14T11:00:19.615,12.556468,55.686448,MULTIPOINT ((12.556468106601734 55.68644823036112))
toilet_tmf_kk.24,180,Pilesvinget,"Pilesvinget 80, 2700 Brønshøj",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.486389,55.708811,MULTIPOINT ((12.486389371267451 55.70881069857714))
toilet_tmf_kk.25,187,Nørrebroparken,"Stefansgade 24, 2200 København N",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.54288,55.694863,MULTIPOINT ((12.54287981858716 55.6948633769465))
toilet_tmf_kk.26,188,Sundbyvester Plads ,"Sundbyvester Plads 2A, 2300 København S",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.613326,55.646622,MULTIPOINT ((12.61332562923731 55.646621848684404))
toilet_tmf_kk.27,192,Sønder Boulevard ,"Sønder Boulevard 60B, 1720 København V",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Nej,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.551496,55.666095,MULTIPOINT ((12.551496339349157 55.66609552502657))
toilet_tmf_kk.28,195,Toftegårds plads,"Toftegårds Plads 2F, 2500 Valby",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-03T00:00:00,2018-05-14T11:00:19.615,12.517536,55.66184,MULTIPOINT ((12.517535703548816 55.66183993739855))
toilet_tmf_kk.29,196,Toftegårds Plads,"Toftegårds Plads 6F, 2500 Valby",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2001-08-17T00:00:00,2018-05-14T11:00:19.615,12.517405,55.662306,MULTIPOINT ((12.517404749579082 55.66230564295982))
toilet_tmf_kk.30,197,Trianglen,"Østerbrogade 29B 29B, 2100 København Ø",Opsyn,Toilet med personale og handicapadgang,Ja,Bygning,Ja,,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-13T00:00:00,2018-05-14T11:00:19.615,12.577521,55.699301,MULTIPOINT ((12.577520816417756 55.6993013489334))
toilet_tmf_kk.31,10,"Langelinie, Hvidtfeldtmonumentet","Langelinie 25, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Ja (handicaptoilettet er helårsåbent),Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Handicaptoilettet er åben hele året. De andre toiletter er åbne fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.599197,55.690616,MULTIPOINT ((12.59919681303647 55.6906164941624))
toilet_tmf_kk.32,11,"Ørstedsparken, tæt på leplads","Nørre Farimagsgade 2A, 1364 København K",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.56456,55.680387,MULTIPOINT ((12.564560016922062 55.680386955826165))
toilet_tmf_kk.33,12,Østre Anlæg,"Stockholmsgade 62, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.584244,55.692469,MULTIPOINT ((12.584243686929145 55.69246933998925))
toilet_tmf_kk.34,13,Fælledparken ved kiosk,"Per Henrik Lings Allé 5, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.570661,55.703188,MULTIPOINT ((12.57066134870188 55.703188304177466))
toilet_tmf_kk.35,14,"Fælledparken, Seridsslevvej syd","Serridslevvej 15, 2100 København Ø",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.572823,55.705954,MULTIPOINT ((12.572822798377928 55.70595409633797))
toilet_tmf_kk.36,15,"Bølgen, Kalvebod Brygge ","Kalvebod Brygge 3C, 1560 København V",Gade,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,,2018-05-14T11:00:19.615,12.57598,55.669141,MULTIPOINT ((12.575979870926915 55.669141199982825))
toilet_tmf_kk.37,16,"Fælledparken, Seridsslevvej nord ","Serridslevvej 35, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.571253,55.706806,MULTIPOINT ((12.571252707297713 55.706805753379776))
toilet_tmf_kk.38,18,"Fælledparken,  Bikuben ","Edel Sauntes Allé 1, 2100 København Ø",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.562361,55.698973,MULTIPOINT ((12.562361301136582 55.69897271221136))
