FID,id,toilet_lokalitet,adresse,toilet_type,toilet_betegnelse,handicapadgang,design,helaarsaabent,aabent_april_sept,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,registreret_dato,rettet_dato,longitude,latitude,wkb_geometry
toilet_tmf_kk.39,19,"Fælledparken, Det røde toilet","Edel Sauntes Allé 18, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Ja (handicaptoilettet og  pissoir er helårsåbent),Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.565388,55.700706,MULTIPOINT ((12.565387625129679 55.70070649191298))
toilet_tmf_kk.40,21,Folkets park,"Stengade 48, 2200 København N",Gade,Toilet,Nej,CPH Urban,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2015-06-24T13:06:38,2018-05-14T11:00:19.615,12.554982,55.68727,MULTIPOINT ((12.55498197342242 55.68727040257114))
toilet_tmf_kk.41,22,"Nyboder, Gammel Vagt","Olfert fischers gade  40, 1311 København K",Gade,Toilet,Nej,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,,2018-05-14T11:00:19.615,12.585553,55.687614,MULTIPOINT ((12.585553120956142 55.68761423178274))
toilet_tmf_kk.42,23,"Ørstedsparken, ved caféen","Nørre Farimagsgade  6, 1364 København K",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,10.00 - Cafen lukker,10.00 - Cafen lukker,10.00 - Cafen lukker,10.00 - Cafen lukker,10.00 - Cafen lukker,10.00 - Cafen lukker,10.00 - Cafen lukker,Nej,Åbent fra 1. april til 30. september. Toilettet følger caféens åbningstider. Cafeen lukker alt afhængig af vejret,2009-03-01T06:11:02,2018-05-14T11:00:19.615,12.566183,55.682474,MULTIPOINT ((12.566183203994065 55.682473782480656))
toilet_tmf_kk.43,24,Enghaveparken," Ejderstedgade 3, 1761 København V",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.541118,55.667806,MULTIPOINT ((12.541117720260216 55.6678058313169))
toilet_tmf_kk.44,26,"Østre Anlæg, nær legeplads","Stockholmsgade 26, 2100 København Ø",Park,Toilet,Nej,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,,2018-05-14T11:00:19.615,12.579121,55.690613,MULTIPOINT ((12.579121048745945 55.69061261184831))
toilet_tmf_kk.45,25,Saxoparken ,"Matthæusgade 8, 1666 København V",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.551496,55.66996,MULTIPOINT ((12.551495659138666 55.66996018794154))
toilet_tmf_kk.46,27,"Fælledparken, dansepladsen","Edel Sauntes Allé 25, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.565444,55.704773,MULTIPOINT ((12.565444350472468 55.704772574689855))
toilet_tmf_kk.47,28,Axeltorv ved Cirkusbygningen,"Jernbanegade 10, 1608 København V",AFA ,Toilet,Nej,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Info om jul/nytår 2016. Info lægges på KK.dk medio december hvert år.,2001-08-08T00:00:00,2018-05-14T11:00:19.615,12.564604,55.675858,MULTIPOINT ((12.564603841614245 55.6758582679793))
toilet_tmf_kk.48,29,Christianshavns Torv,"Torvegade 48, 1400 København K",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2011-03-18T11:30:04,2018-05-14T11:00:19.615,12.5918,55.67198,MULTIPOINT ((12.59179995938619 55.67197983409066))
toilet_tmf_kk.49,30,"Christiansborg Slotsplads, Holmens Bro","Christiansborg Slotsplads 2, 1218 København K",AFA ,Toilet,Nej,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2001-07-19T00:00:00,2018-05-14T11:00:19.615,12.582154,55.676611,MULTIPOINT ((12.582153675700967 55.67661059155172))
toilet_tmf_kk.50,31,Gammel Torv,"Gammel Torv 22f, 1457 København K",AFA ,Toilet,Nej,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,aldrig lukket,Døgnåbent,Døgnåbent,Ja,,2012-12-14T14:46:09,2018-05-14T11:00:19.615,12.571727,55.678112,MULTIPOINT ((12.57172713408028 55.67811205274012))
toilet_tmf_kk.51,32,Grå Brødre Torv,"Kejsergade 6 6, 1155 København K",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2001-07-24T00:00:00,2018-05-14T11:00:19.615,12.575451,55.679984,MULTIPOINT ((12.575450815033388 55.67998365257922))
toilet_tmf_kk.52,33,Assistens Kirkegård vest,"Kapelvej 2, 2200 København N",Kirkegård,Toilet med handicapadgang,Ja,Bygning,Ja,,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,Nej,"Vinterhalvåret (oktober-marts) 07:00-19:00
 Sommerhalvåret (april-september) 07:00-22:00",2010-10-11T09:31:54,2018-05-14T11:00:19.615,12.553019,55.689449,MULTIPOINT ((12.553018667840034 55.68944897227366))
toilet_tmf_kk.53,34,"Remiseparken, Byggelegepladsen","Peder Lykkes Vej 73, 2300 København S",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,"Sommersæson maj-okt (uge 18-42) mandag-onsdag og fredag kl. 9.30-18.00, torsdag kl. 9.30-20.00, lørdag kl. 10.00-16.00. Mellemsæson (uge 10-17 + uge 43-45) mandag-fredag kl. 9.30-17.00. Vintersæson nov-feb (uge 46-9) mandag-fredag kl. 10.00-16.30",,2018-05-14T11:00:19.615,12.597272,55.652669,MULTIPOINT ((12.59727194052799 55.65266941742882))
toilet_tmf_kk.54,35,Gunløgsgade ,"Gunløgsgade 26, 2300 København S",Gade,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,,2018-05-14T11:00:19.615,12.579486,55.664694,MULTIPOINT ((12.579486102334641 55.66469380840303))
toilet_tmf_kk.55,37,Sankt Hans Torv,"Nørre Allé 2, 2200 København N",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.561263,55.691369,MULTIPOINT ((12.56126256800839 55.691368928255024))
toilet_tmf_kk.56,38,Sølvtorvet,"Stockholmsgade 2, 2100 København Ø",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2001-07-21T00:00:00,2018-05-14T11:00:19.615,12.575475,55.689418,MULTIPOINT ((12.57547548987727 55.689417646680425))
toilet_tmf_kk.57,39,Planetariet,"Vester Søgade 2, 1601 København V",AFA ,Toilet med handicapadgang,Ja,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2013-12-09T15:12:13,2018-05-14T11:00:19.615,12.558971,55.674807,MULTIPOINT ((12.558970786657303 55.67480727542864))
toilet_tmf_kk.58,40,"Skydebanehaven, legeplads","Absalonsgade  12, 1658 København V",Bemandet legeplads,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Sommersæson (maj til september) mandag-fredag kl. 9-18 og om lørdagen 10-17. I vintersæsonen (oktober-april) mandag til fredag kl. 9-17.,,2018-05-14T11:00:19.615,12.554053,55.670445,MULTIPOINT ((12.554052917554431 55.67044512404039))
toilet_tmf_kk.108,160,Melchiors Plads ,"Melchiors Plads 8, 2100 København Ø",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.585572,55.70355,MULTIPOINT ((12.585572403940485 55.7035498824992))
toilet_tmf_kk.59,64,"Amager Strandpark, Strandprominaden syd","Havkajakvej 14, 2300 København S",Park (Strand),Toilet med handicapadgang,Ja,Bygning,Ja,,8.00 - 22.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,Nej,"Højsæson: 1. maj til 30. sep. Kl 8.00 til 22.00 alle ugen dage. Fra 1. juni til 31 august kl. 8.00 til 24.00 fredag, lørdag og søndag. Lavsæson: 1. okt til 30. april. Kl. 8.00 til 18.00 alle dage. Her er kun handicaptoilettet åbent.. Kontrakt løber til 28.2.18. Handicaptoilet er helårsåbent",2015-06-23T15:30:28,2018-05-14T11:00:19.615,12.647289,55.648422,MULTIPOINT ((12.64728885440403 55.64842240741454))
toilet_tmf_kk.60,41,"Christianshavns Vold, Elefantens bastion, legeplads","Christianshavns Voldgade 36, 1424 København K",Bemandet legeplads,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,"I sommersæsonen (maj-september) mandag-fredag kl. 9-18, tirsdag til kl. 20 og lørdag kl. 10-17. I vintersæsonen (november-februar) mandag -fredag 9-16. I mellemsæsonen (uge 10-17 + uge 40-43) mandag - fredag 9-17.",,2018-05-14T11:00:19.615,12.592762,55.669931,MULTIPOINT ((12.592762413299116 55.66993075485433))
toilet_tmf_kk.61,81,Brønshøj Torv,"Krabbesholmvej 2, 2700 Brønshøj",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.498832,55.704191,MULTIPOINT ((12.498831631574145 55.70419107425095))
toilet_tmf_kk.62,42,"Enghaveparken, legeplads","Ejderstedgade  1, 1761 København V",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,"Sommersæson (maj til september) mandag-fredag kl. 9-18 og søndag 10-17. I mellemsæsonen (marts, april og oktober) mandag-fredag 9-17. I vintersæsonen (november-februar) mandag - fredag 9-16.",,2018-05-14T11:00:19.615,12.541712,55.667912,MULTIPOINT ((12.541712444691454 55.667911813865196))
toilet_tmf_kk.63,43,"Ørstedsparken, legeplads","Nørre Farimagsgade  2, 1364 København K",Bemandet legeplads,Toilet med handicapadgang,Ja,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Legeplads med pædagogisk personale og aktivitetshus. Åbningstider: : I sommersæsonen (maj-september) 9-17 på hverdage og lørdag 10-17. I vintersæsonen (oktober-april) åbent herdage kl. 9-16.,,2018-05-14T11:00:19.615,12.564608,55.680491,MULTIPOINT ((12.564607961508129 55.68049085448955))
toilet_tmf_kk.64,44,"Fælledparken, Trafiklegepladsen","Gunnar Nu Hansens Plads  10, 2100 København Ø",Bemandet legeplads,Toilet med handicapadgang,Ja,Bygninger,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,sommersæsonen (marts- oktober) hverdage kl. 9-17 og hver 3. lørdag kl. 10-17. I vintersæsonen (november-februar) hverdage 9-16 og en gang om måneden åbent lørdag 10-16.,,2018-05-14T11:00:19.615,12.570897,55.704867,MULTIPOINT ((12.570897424396312 55.70486672458651))
toilet_tmf_kk.65,46,Nørreport station,"Nørre Voldgade 15B, 1358 København K",Opsyn,Toilet med personale og handicapadgang,Ja,Bygning,Ja,,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2015-02-09T13:34:44,2018-05-14T11:00:19.615,12.571366,55.683049,MULTIPOINT ((12.571365922935339 55.68304928708252))
toilet_tmf_kk.66,48,"Valbyparken, ved restaurant","Hammelstrupvej 98, 2450 København SV",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.52025,55.641833,MULTIPOINT ((12.520249969428265 55.64183341620233))
toilet_tmf_kk.67,49,"Islands Brygge, havneparken","Islands Brygge 12, 2300 København S",Gade,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.578468,55.668388,MULTIPOINT ((12.578468362615146 55.66838839343021))
toilet_tmf_kk.68,50,"Lergravsparken, ved metro","Østrigsgade 67, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,,2018-05-14T11:00:19.615,12.617156,55.661741,MULTIPOINT ((12.61715567428056 55.66174093074036))
toilet_tmf_kk.69,51,Sundbyvesterparken,"Englandsvej 59B, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.602138,55.65065,MULTIPOINT ((12.602137823429095 55.650650260462726))
toilet_tmf_kk.70,52,Vigerslevparken Syd,"Engdals alle 20, 2500 Valby",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.478322,55.658138,MULTIPOINT ((12.478321602821147 55.6581381120663))
toilet_tmf_kk.71,53,"Valbyparken, ved Rosenhaven","Hammelstrupvej 114, 2450 København SV",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.519723,55.640612,MULTIPOINT ((12.51972295829735 55.64061200944224))
