Player, Club
Jefferson,Cruzeiro
Jefferson,Botafogo 
Jefferson,Trabzonspor
Jefferson,Konyaspor
Jefferson,Botafogo
Dani Alves,Bahia
Dani Alves,Sevilla
Dani Alves,Barcelona
Dani Alves,Juventus
Thiago Silva,RS Futebol
Thiago Silva,Juventude
Thiago Silva,Porto B
Thiago Silva,Dynamo Moscow
Thiago Silva,Fluminense
Thiago Silva,Milan
Thiago Silva,Paris Saint-Germain
David Luiz,Vitória
David Luiz,Benfica
David Luiz,Chelsea
David Luiz,Paris Saint-Germain
Fernandinho,Atlético Paranaense
Fernandinho,Shakhtar Donetsk
Fernandinho,Manchester City
Marcelo,Fluminense
Marcelo,Real Madrid
Hulk,Vitória
Hulk,Kawasaki Frontale
Hulk,Consadole Sapporo 
Hulk,Tokyo Verdy
Hulk,Porto
Hulk,Zenit Saint Petersburg
Hulk,Shanghai SIPG
Paulinho,FC Vilnius
Paulinho,ŁKS Łódź
Paulinho,Pão de Açúcar
Paulinho,Bragantino
Paulinho,Corinthians
Paulinho,Tottenham Hotspur
Paulinho,Guangzhou Evergrande
Fred,América Mineiro
Fred,Cruzeiro
Fred,Lyon
Fred,Fluminense
Fred,Atlético Mineiro
Neymar,Santos
Neymar,Barcelona
Oscar,São Paulo
Oscar,Internacional
Oscar,Chelsea
Oscar,Shanghai SIPG
Júlio César,Flamengo
Júlio César,Inter Milan
Júlio César,Chievo 
Júlio César,Queens Park Rangers
Júlio César,Toronto FC 
Júlio César,Benfica
Dante,Juventude
Dante,Lille
Dante,Charleroi
Dante,Standard Liège
Dante,Mönchengladbach
Dante,Bayern Munich
Dante,VfL Wolfsburg
Dante,Nice
Maxwell,Cruzeiro
Maxwell,Ajax
Maxwell,Internazionale
Maxwell,Barcelona
Maxwell,Paris Saint-Germain
Henrique,Coritiba
Henrique,Palmeiras
Henrique,Barcelona
Henrique,Bayer Leverkusen 
Henrique,Racing Santander 
Henrique,Napoli
Henrique,Fluminense
Ramires,Joinville
Ramires,Cruzeiro
Ramires,Benfica
Ramires,Chelsea
Ramires,Jiangsu Suning
Luiz Gustavo,Corinthians Alagoano
Luiz Gustavo,CRB 
Luiz Gustavo,1899 Hoffenheim 
Luiz Gustavo,Bayern Munich
Luiz Gustavo,VfL Wolfsburg
Willian,Corinthians
Willian,Shakhtar Donetsk
Willian,Anzhi Makhachkala
Willian,Chelsea
Bernard,Atlético Mineiro
Bernard,Democrata-SL 
Bernard,Shakhtar Donetsk
Hernanes,São Paulo
Hernanes,Santo André 
Hernanes,Lazio
Hernanes,Internazionale
Hernanes,Juventus
Jô,Corinthians
Jô,CSKA Moscow
Jô,Manchester City
Jô,Everton 
Jô,Galatasaray 
Jô,Internacional
Jô,Atlético Mineiro
Jô,Al Shabab
Jô,Jiangsu Suning
Victor,Paulista
Victor,Ituano 
Victor,Grêmio
Victor,Atlético Mineiro
Maicon,Cruzeiro
Maicon,Monaco
Maicon,Internazionale
Maicon,Manchester City
Maicon,Roma