Mestre,Discipulo(a)
George,Pedro
Helio,Relson
Helio,Rickson
Helio,Rolker
Helio,Royler
Helio,Royce
Helio,Rherika
Helio,Robin
Helio,Ricci
Pedro,Gastao
Gastao,Carlos
Gastao,Oswaldo
Gastao,Gastao Jr
Gastao,George (2)
Gastao,Helena
Gastao,Helio
Gastao,Mary
Gastao,Ilka
Carlos,Carlson
Carlos,Robson
Carlos,Geysa
Carlos,Rose
Carlos,Sonja
Carlos,Oneica
Carlos,Reilson
Carlos,Rosley
Carlos,Rolange
Carlos,Carley
Carlos,Rocian
Carlos,Carlion
Carlos,Clayr
Carlos,Rolls
Carlos,Carlos Jr
Carlos,Karla
Carlos,Crolin
Carlos,Reila
Carlos,Rillion
Carlos,Kirla
Carlos,Reylson
Carlson,Rosane
Carlson,Karen
Carlson,Carlson Jr
Robson,Carla
Carla,Deborah
Carla,Neiman
Robson,Francy
Francy,Frederico
Francy ,Christian
Robson,Charles
Charles,Riury
Charles,Victoria
Robson,Keila
Keila,Georgia
Robson,Renzo
Renzo,Coralina
Renzo,Ruran
Robson,Flavia
Flavia,Kyra
Flavia,Rayra
Robson,Ralph
Ralph,Rayna
Ralph,Rayza
Robson,Ryan
Ryan,Rayron
Robson,Kenya
Robson,Hanna
Robson,Robson (2)
Robson,Clara
Geysa,Cassia
Cassia,Denise
Cassia,Ranna
Cassia,Corina
Geysa,Jaqueline
Jaqueline,Sonja (2)
Jaqueline,Aisha
Geysa,Riller
Riller,Raissa
Riller,Rairon
Riller,Hormindo
Geysa,Bianca
Bianca,Gabriela
Bianca,Nayes
Rose,Maria
Maria,Rose (2)
Rose (2),Stephanie
Rose (2),Raylei
Maria,Riane
Riane,Raiane
Rose,Marco
Marco,Karina
Marco,Stephania
Marco,Veraluz
Marco,Juramidan
Marco,Kael
Marco,Flor
Marco,Cires
Marco,Tintunma
Marco,Burun
Rose,Angela
Angela,Karmen
Rose,Abel
Abel,Felipe
Abel,Ramon
Abel,Israel
Rose,Ana Maria
Ana Maria,Flavia (2)
Sonja,Cesar
Oneica,Kendra
Oneica,Stanley
Reylson,Reryckson
Reylson,Rosene
Rosene,Leonardo
Reylson,Alessandra
Reylson,Cesar (2)
Cesar (2),Kendrick
Cesar (2),Kevin
Reylson,Rodrigo
Rosley,Crosley
Rosley,Kandria
Rosley,Andrew
Rosley,Raylla
Rosley,Stephanie
Rolange,Hulya
Rolange,Herica
Rolange,Heily
Rolange,Hubra
Rolange,Hallison
Rolange,Heather
Carley,Tania
Carley,Clark
Carley,Ralston
Rocian,Rocian Jr
Rocian Jr,Ana Clara
Carlion,Jennifer
Carlion,Wilbert
Carlion,Elbienn
Carlion,Joelssy
Clayr,Ana
Rolls,Rolles
Rolles,Kyara
Rolls,Igor
Carlos Jr,Caroline
Carlos Jr,Kayron
Karla,Ronis
Karla,Cesalina
Karla,Karla (3)
Crolin,Lyra
Crolin,Kyvia
Crolin,Rulivan
Crolin,Yonah
Crolin,Larin
Reila,Vanessa
Reila,Rober
Reila,Barbara
Rillion,Rogan
Kirla,Kyron
Kirla,Kiwan
Kirla,Viktor
Oswaldo,Iros
Iros,Marcela (2)
Marcela (2) ,Pedro (2)
Iros,Monica
Monica,Mariana
Iros,Michela
Michela,Marcos (2)
Iros,Oswalso
Gastao Jr,Helio (2)
Gastao Jr,Gastao (2)
Helio (2),Kendra
Helio (2),Leandro
George (2),M. Helena
George (2),Liana
Liana,Renata
Renata,Pedro (3)
Renata,M.
Liana,Rodrigo (2)
George (2),George (3)
George (3),Deborah (2)
George (3),Yan
George (3),Georgia
Rorion,Rose (3)
Rose (3),Stephanie
Rose (3),Railey
Rorion,Riane (2)
Rorion,Ryron
Rorion,Rener
Rorion,Ralek
Rorion,Segina
Rorion,Reylan
Rorion,Roran
Rorion,Renon
Relson,Karina (2)
Relson,Rishna
Relson,Ralan
Relson,Kailani
Rickson,Rockson
Rickson,Kauan
Rickson,Kaulin
Rickson,Krohn
Rolker,Renan
Rolker,Ranna (2)
Royler,Rayna (2)
Royler,Raissa (2)
Royler,Rhauani
Royler,Rarine
Royce,Khorny
Royce,Khor
Royce,Kheydon
Royce,Karianne
Rherika,Khroyler
Rherika,Kayron (2)
Robin,Khole
Robin,Khlaire
Ricci,Rawan
Ilka,Angela (2)
Angela (2),Brian
Angela (2),Allan
Ilka,Carla
Ilka,Leila
Ilka,June
Ilka,Ricardo
Carla,Galvin
Carla,Rodney
Carla,Glenda
Leila,Ricky
Leila,Julie
June,Egon
June,Peter
Ricardo,Maite
Ricardo,Larissa